"time","motormodellAufgabe3_me_FMU.M","motormodellAufgabe3_me_FMU.alpha","motormodellAufgabe3_me_FMU.N"
0,0,40,5000
0.01,0,40,5000
0.02,0.8092206073170841,40,5000
0.03,2.0524919790835696,40,5000
0.04,2.6778844876570616,40,5000
0.05,4.488330810318545,40,5000
0.06,6.831690852149425,40,5000
0.07,8.389330666214738,40,5000
0.08,10.23147007563759,40,5000
0.09,13.120958209948887,40,5000
0.1,16.80044274638739,40,5000
0.11,19.399786336348907,40,5000
0.12,23.356978741467955,40,5000
0.13,27.407214645916152,40,5000
0.14,31.532796348914914,40,5000
0.15,34.44162246222191,40,5000
0.16,39.590027794590924,40,5000
0.17,41.88495682953734,40,5000
0.18,47.12294509849041,40,5000
0.19,50.80511773748202,40,5000
0.2,55.88959043535242,40,5000
0.21,60.60019880154825,40,5000
0.22,64.84812158599178,40,5000
0.23,68.9502600782288,40,5000
0.24,75.13437726135035,40,5000
0.25,78.79624185345183,40,5000
0.26,82.45468160063515,40,5000
0.27,87.46640410670386,40,5000
0.28,91.4643819734496,40,5000
0.29,95.69095213325815,40,5000
0.3,100.60275504134023,40,5000
0.31,105.51022037410151,40,5000
0.32,108.16191346280993,40,5000
0.33,112.6415586191926,40,5000
0.34,116.59185102466691,40,5000
0.35,121.21921891175516,40,5000
0.36,125.08732703679182,40,5000
0.37,128.17955783003484,40,5000
0.38,131.95425082784126,40,5000
0.39,135.00437668675553,40,5000
0.4,139.42162984149243,40,5000
0.41,143.05974877717128,40,5000
0.42,145.3172023664612,40,5000
0.43,149.03310812599207,40,5000
0.44,151.33781445515106,40,5000
0.45,155.17637293667357,40,5000
0.46,157.6222671933663,40,5000
0.47,160.7087709451524,40,5000
0.48,161.9110536925428,40,5000
0.49,164.38420725409776,40,5000
0.5,166.83846492494362,40,5000
0.51,169.24643502291337,40,5000
0.52,171.0413291741669,40,5000
0.53,172.92426586774226,40,5000
0.54,175.57469041446132,40,5000
0.55,177.5610372629435,40,5000
0.56,179.2027934092181,40,5000
0.57,180.61833348968713,40,5000
0.58,182.19291991505818,40,5000
0.59,183.7932576422217,40,5000
0.6,184.72309185025355,40,5000
0.61,185.03178512667955,40,5000
0.62,187.396363808278,40,5000
0.63,187.07240975703718,40,5000
0.64,188.48058771303815,40,5000
0.65,189.28452772320713,40,5000
0.66,189.53812545196422,40,5000
0.67,191.14405747490198,40,5000
0.68,191.6269609861865,40,5000
